net,length_um
clknet_2_0_0_clk_IN,1.53443mm
clknet_2_3_0_clk_IN,1.53224mm
clknet_2_1_0_clk_IN,1.49696mm
clknet_2_2_0_clk_IN,1.48006mm
clknet_0_clk_IN,1.22573mm
clknet_0_sclk_IN,1.04144mm
clk_IN,921.51µm
clknet_4_2__leaf_sclk_IN,764.44µm
clknet_2_0_0_sclk_IN,756.91µm
clknet_4_14__leaf_sclk_IN,677.85µm
clknet_2_3_0_sclk_IN,659.59µm
sclk_IN,643.33µm
clknet_4_15__leaf_sclk_IN,620.57µm
clknet_4_3__leaf_sclk_IN,602.86µm
clknet_4_4__leaf_sclk_IN,531.43µm
clknet_2_1_0_sclk_IN,497.99µm
clknet_2_2_0_sclk_IN,403.5µm
clknet_4_12__leaf_sclk_IN,402.53µm
net3329,383.18µm
net402,383.14µm
net3423,382.93µm
net3371,361.34µm
clknet_4_5__leaf_sclk_IN,359.41µm
net3379,357.78µm
net3497,356.56µm
net3424,350.25µm
net1012,345.97µm
net3438,345.36µm
net1007,343.27µm
net3337,340.47µm
net3322,339.2µm
net1015,338.23µm
net979,337.42µm
net642,336.05µm
net975,331.87µm
net2747,330.6µm
net3413,327.9µm
net988,327.39µm
net1772,323.11µm
net1002,322.91µm
net3334,319.6µm
net961,315.02µm
net3440,311.2µm
net997,311µm
net3345,310.74µm
net1855,309.93µm
net3376,308.35µm
net892,308.3µm
net1625,307.13µm
net3324,306.87µm
net959,305.65µm
net3412,305.55µm
net396,305.4µm
net3458,304.02µm
net986,303.31µm
net1756,301.83µm
clknet_4_0__leaf_sclk_IN,301.63µm
_03086_,300.51µm
net1674,298.07µm
net989,297.33µm
net513,297µm
net958,296.69µm
net3353,296.69µm
net1858,296.34µm
net1845,295.98µm
net237,295.78µm
net3382,295.62µm
net3070,295.52µm
net3163,295.22µm
net3401,294.5µm
net985,292.47µm
net1758,292.01µm
net3367,292.01µm
net1770,291.09µm
net3328,290.68µm
_06053_,289.21µm
net917,288.55µm
net3482,288.29µm
net1909,287.48µm
net1655,287.43µm
net3501,287.32µm
net3400,287.22µm
net1790,286.87µm
net1784,286.2µm
net1626,285.39µm
net915,285.29µm
net1016,284.86µm
net1851,284.73µm
net994,283.96µm
net1753,282.74µm
u_core.u_master.u_slave.u_core.B2\[22\],282.59µm
net2021,282.44µm
net1814,281.93µm
net1829,281.83µm
net761,281.73µm
net3403,279.23µm
net1760,278.57µm
net3278,278.11µm
net1769,277.96µm
net2708,277.91µm
net3398,277.6µm
net909,277.55µm
net3060,276.89µm
clknet_8_42__leaf_clk_IN,276.58µm
net3140,276.33µm
net3373,276.02µm
net1783,275.82µm
net234,275.57µm
net3470,275.36µm
net1794,274.75µm
net3321,274.49µm
net3404,274.09µm
net1005,272.41µm
net370,271.8µm
net3366,271.44µm
net3343,271.39µm
net1014,271.18µm
u_core.u_master.u_slave.u_core.B4\[55\],271.14µm
net501,270.98µm
net3350,270.37µm
net901,270.17µm
net972,270.02µm
net3445,269.71µm
net3455,269.61µm
net1763,269.2µm
net1698,269.1µm
net3431,268.69µm
net984,268.03µm
