Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,67268
design__instance__area,7.69823E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,234
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,412
design__max_cap_violation__count__corner:nom_tt_025C_3v30,43
power__internal__total,0.0001905489043565467
power__switching__total,0.00006877656414872035
power__leakage__total,0.000060152175137773156
power__total,0.0003194776363670826
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.9272272101460176
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.6230611758439
timing__hold__ws__corner:nom_tt_025C_3v30,0.2999058863915408
timing__setup__ws__corner:nom_tt_025C_3v30,37.105985112574956
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.601616
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,37.105984
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,412
design__max_cap_violation__count__corner:min_ff_n40C_3v60,43
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.5362010986989407
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.4542690518994862
timing__hold__ws__corner:min_ff_n40C_3v60,0.19749979988229416
timing__setup__ws__corner:min_ff_n40C_3v60,47.843483418097016
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.197500
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,47.843483
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,7392
design__max_fanout_violation__count__corner:max_ss_125C_3v00,412
design__max_cap_violation__count__corner:max_ss_125C_3v00,44
clock__skew__worst_hold__corner:max_ss_125C_3v00,-1.6853621197888489
clock__skew__worst_setup__corner:max_ss_125C_3v00,-1.185362064277696
timing__hold__ws__corner:max_ss_125C_3v00,0.3292370913532609
timing__setup__ws__corner:max_ss_125C_3v00,11.368922125513159
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.589840
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,11.368922
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count,7392
design__max_fanout_violation__count,412
design__max_cap_violation__count,44
clock__skew__worst_hold,-0.5362010986989407
clock__skew__worst_setup,-1.185362064277696
timing__hold__ws,0.19749979988229416
timing__setup__ws,11.368922125513159
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.197500
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.368922
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2935.0 2935.0
design__core__bbox,442.4 442.96 2492.56 2489.2
design__io,85
design__die__area,8.61422E+6
design__core__area,4.19512E+6
design__instance__count__stdcell,22681
design__instance__area__stdcell,605114
design__instance__count__macros,1
design__instance__area__macros,921600
design__instance__count__padcells,420
design__instance__area__padcells,3.0422E+6
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.363926
design__instance__utilization__stdcell,0.184851
design__rows,773
design__rows:GF018hv5v_mcu_sc7,773
design__sites,1471541
design__sites:GF018hv5v_mcu_sc7,1471541
design__instance__count__class:macro,1
design__instance__area__class:macro,921600
design__instance__count__class:input_pad,3
design__instance__area__class:input_pad,78750
design__instance__count__class:input_output_pad,80
design__instance__area__class:input_output_pad,2.1E+6
design__instance__count__class:power_pad,8
design__instance__area__class:power_pad,210000
design__instance__count__class:tie_cell,145
design__instance__area__class:tie_cell,1273.22
flow__warnings__count,2
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,19
flow__warnings__count:ORD-2001,1
flow__warnings__count:STA-0366,1
flow__warnings__type_count,2
flow__warnings__count:ORD-0039,1
design__instance__count__class:pad_spacer,329
design__instance__area__class:pad_spacer,653450
design__instance__count__class:endcap_cell,1550
design__instance__area__class:endcap_cell,510888
flow__warnings__count:PAD-0033,2
design__instance__count__class:tap_cell,20963
design__instance__area__class:tap_cell,92036
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,688.133
design__instance__displacement__mean,0.03
design__instance__displacement__max,459.705
route__wirelength__estimated,27415.4
design__violations,0
design__instance__count__class:timing_repair_buffer,23
design__instance__area__class:timing_repair_buffer,917.594
flow__warnings__count:STA-1140,2
flow__warnings__count:CTS-0041,2
flow__warnings__count:CTS-0082,1
flow__warnings__count:CTS-0083,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3
global_route__vias,710
global_route__wirelength,26258
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,192
route__net__special,85
route__drc_errors__iter:0,21
route__wirelength__iter:0,24539
route__drc_errors__iter:1,2
route__wirelength__iter:1,24529
route__drc_errors__iter:2,0
route__wirelength__iter:2,24527
route__drc_errors,0
route__wirelength,24527
route__vias,519
route__vias__singlecut,519
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2085.9
design__instance__count__class:fill_cell,44166
design__instance__area__class:fill_cell,3.12931E+6
timing__unannotated_net__count__corner:nom_tt_025C_3v30,2065
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,2065
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
