Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,11
design__inferred_latch__count,0
design__instance__count,87007
design__instance__area,839853
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.013828089460730553
power__switching__total,0.00428700540214777
power__leakage__total,0.0000034509218949096976
power__total,0.018118547275662422
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.8637841242321836
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.8836804316191971
timing__hold__ws__corner:nom_tt_025C_3v30,0.38062354345673943
timing__setup__ws__corner:nom_tt_025C_3v30,35.60182294184907
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.447585
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,35.601822
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,0
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,0
clock__skew__worst_hold__corner:max_ss_125C_3v00,-1.2746506433354032
clock__skew__worst_setup__corner:max_ss_125C_3v00,1.3138890347598626
timing__hold__ws__corner:max_ss_125C_3v00,0.7054268480134612
timing__setup__ws__corner:max_ss_125C_3v00,8.294208221668024
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.412786
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,8.294209
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,0
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.6960738293891364
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.7077609254552941
timing__hold__ws__corner:min_ff_n40C_3v60,0.01318767354868034
timing__setup__ws__corner:min_ff_n40C_3v60,46.96699695432509
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.013188
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,46.966995
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.6960738293891364
clock__skew__worst_setup,0.7077609254552941
timing__hold__ws,0.01318767354868034
timing__setup__ws,8.294208221668024
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.013188
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.294209
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 960.0 960.0
design__core__bbox,20.16 23.52 939.68 936.88
design__io,8
design__die__area,921600
design__core__area,839853
design__instance__count__stdcell,36520
design__instance__area__stdcell,544765
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.648644
design__instance__utilization__stdcell,0.648644
design__rows,233
design__rows:GF018hv5v_mcu_sc7,233
design__sites,382586
design__sites:GF018hv5v_mcu_sc7,382586
design__instance__count__class:tie_cell,2
design__instance__area__class:tie_cell,17.5616
design__instance__count__class:inverter,513
design__instance__area__class:inverter,4517.72
design__instance__count__class:sequential_cell,2585
design__instance__area__class:sequential_cell,193011
design__instance__count__class:multi_input_combinational_cell,7883
design__instance__area__class:multi_input_combinational_cell,171954
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,466
design__instance__area__class:endcap_cell,2045.93
design__instance__count__class:tap_cell,5409
design__instance__area__class:tap_cell,23747.7
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,16968
design__instance__displacement__mean,0.4645
design__instance__displacement__max,48.72
route__wirelength__estimated,949327
design__violations,0
design__instance__count__class:timing_repair_buffer,4661
design__instance__area__class:timing_repair_buffer,71488.9
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
design__instance__count__class:clock_buffer,370
design__instance__area__class:clock_buffer,11120.9
design__instance__count__class:clock_inverter,176
design__instance__area__class:clock_inverter,3398.17
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,10
global_route__vias,149376
global_route__wirelength,1522424
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,14455
design__instance__area__class:antenna_cell,63463.2
antenna_diodes_count,0
route__net,15999
route__net__special,2
route__drc_errors__iter:0,6069
route__wirelength__iter:0,1068867
route__drc_errors__iter:1,1606
route__wirelength__iter:1,1062855
route__drc_errors__iter:2,1432
route__wirelength__iter:2,1061139
route__drc_errors__iter:3,14
route__wirelength__iter:3,1059640
route__drc_errors__iter:4,0
route__wirelength__iter:4,1059642
route__drc_errors,0
route__wirelength,1059642
route__vias,139273
route__vias__singlecut,139273
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1423.4
design__instance__count__class:fill_cell,50487
design__instance__area__class:fill_cell,295088
timing__unannotated_net__count__corner:nom_tt_025C_3v30,196
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
